@relation dodgers

@attribute Date numeric
@attribute Time numeric
@attribute Reading numeric
@attribute TimeOfDay numeric

@data
6,2880,41,0
6,3180,38,0
6,3480,38,0
6,3780,40,0
6,540,30,1
6,840,27,1
6,1140,42,1
6,1440,38,1
6,1740,39,1
6,2040,29,1
6,2340,31,1
6,2640,29,1
6,2940,31,1
6,3240,37,1
6,3540,19,1
6,3840,34,1
6,600,26,1
6,900,26,1
6,1200,26,1
6,1500,39,1
6,1800,29,1
6,2100,25,1
6,2400,32,1
6,2700,21,1
6,3000,26,1
6,3300,31,1
6,3600,35,1
6,3900,23,1
6,660,39,1
6,960,26,1
6,1260,32,1
6,1560,25,1
6,1860,23,1
6,2160,22,1
6,2460,27,1
6,2760,23,1
6,3060,19,1
6,3360,22,1
6,3660,23,1
6,3960,33,1
6,720,35,0
6,1020,25,0
6,1320,21,0
6,1620,18,0
6,1920,28,0
6,2220,24,0
6,2520,32,0
6,2820,24,0
6,3120,13,0
6,3420,22,0
6,3720,29,0
6,4020,34,0
6,780,22,1
6,1080,14,1
6,1380,29,1
6,1680,20,1
6,1980,19,1
6,2280,30,1
6,2580,28,1
6,2880,24,1
6,3180,26,1
6,3480,13,1
6,3780,15,1
6,4080,32,1
6,840,30,1
6,1140,18,1
6,1440,27,1
6,1740,20,1
6,2040,29,1
6,2340,28,1
6,2640,33,1
6,2940,37,1
6,3240,38,1
6,3540,35,1
6,3840,35,1
6,4140,33,1
6,900,31,1
6,1200,31,1
6,1500,41,1
6,1800,53,1
6,2100,39,1
6,2400,25,1
6,2700,42,1
6,3000,35,1
6,3300,40,1
6,3600,40,1
6,3900,38,1
6,4200,38,1
6,960,48,1
6,1260,29,1
6,1560,33,1
6,1860,40,1
6,2160,38,1
6,2460,29,1
6,2760,36,1
6,3060,42,1
6,3360,25,1
6,3660,28,1
6,3960,32,1
6,4260,40,1
6,1020,41,2
6,1320,32,2
6,1620,37,2
6,1920,42,2
6,2220,39,2
6,2520,37,2
6,2820,38,2
6,3120,20,2
6,3420,26,2
6,3720,33,2
6,4020,32,2
6,4320,29,2
6,1080,38,2
6,1380,36,2
6,1680,33,2
6,1980,30,2
6,2280,27,2
6,2580,31,2
6,2880,44,2
6,3180,27,2
6,3480,37,2
6,3780,28,2
6,4080,24,2
6,4380,17,2
6,1140,16,2
6,1440,24,2
6,1740,39,2
6,2040,30,2
6,2340,28,2
6,2640,21,2
6,2940,21,2
6,3240,20,2
6,3540,32,2
6,3840,18,2
6,4140,19,2
6,4440,27,2
6,1200,23,2
6,1500,24,2
6,1800,21,2
6,2100,21,2
6,2400,16,2
6,2700,17,2
6,3000,18,2
6,3300,14,2
6,3600,12,2
6,3900,16,2
6,4200,17,2
6,4500,17,2
6,1260,17,2
6,1560,27,2
6,1860,12,2
6,2160,20,2
6,2460,13,2
6,2760,9,2
6,3060,15,2
6,3360,14,2
6,3660,15,2
6,3960,18,2
6,4260,16,2
6,4560,16,2
6,1320,13,2
6,1620,13,2
