,Powersmiths Head Office,Powersmiths Head Office,Powersmiths Head Office,Powersmiths Head Office,Powersmiths Head Office
READING_DATE,Forge Hallway - Temperature,Forge Room - Temperature,IT Closet-Temperature,Temp South Wall,Temperature North Wall
03/01/2011,20.86319,22.32465,26.69375,2.27014,1.17882
03/02/2011,20.32222,21.6316,26.05069,0.88993,-2.1441
03/03/2011,20.11319,21.6191,25.86528,-2.42396,-3.2375
03/04/2011,20.20208,21.70729,26.20243,1.87049,3.0059
03/05/2011,18.65035,20.12118,24.89757,4.55417,5.33993
03/06/2011,18.36316,20.05439,24.4,1.57188,-3.83624
03/07/2011,22.14755,22.97157,29.02941,-0.6691,-4.82997
03/08/2011,21.08785,21.85938,28.18299,-0.21701,-0.36354
03/09/2011,20.65347,21.95451,27.98819,0.71608,2.25775
03/10/2011,20.405,21.78964,27.64679,3.78561,5.32474
03/11/2011,20.04201,21.54063,26.73924,3.31389,4.87431
03/12/2011,18.27609,19.5337,24.8413,2.7413,4.43406
03/13/2011,18.21111,19.37188,24.48264,2.89757,2.67396
03/14/2011,20.98403,21.70972,26.58715,4.69688,1.09375
03/15/2011,20.78542,21.80938,28.96701,5.73646,4.00451
03/16/2011,20.71285,21.50938,33.11632,6.54271,7.66563
03/17/2011,20.56007,21.42257,31.04583,10.61875,10.52222
03/18/2011,21.19514,22.04653,27.28958,13.77431,10.31701
03/19/2011,19.89931,20.47014,25.64931,8.05451,3.39236
03/20/2011,18.76007,19.61493,24.64132,3.50732,2.5554
03/21/2011,20.53021,21.26944,26.50347,6.40243,6.56771
03/22/2011,20.47222,21.87396,27.25278,6.84063,5.00139
03/23/2011,20.2122,21.67178,26.92892,-1.53972,-0.68432
03/24/2011,20.81563,21.72708,26.20972,2.60972,-2.41458
03/25/2011,20.04792,21.23576,25.23715,2.15174,-2.92847
03/26/2011,19.10208,19.65556,24.95347,0.90556,-3.57596
03/27/2011,19.24306,19.7184,24.83472,1.46736,-2.89236
03/28/2011,20.97396,21.67951,26.39896,2.96215,-0.59375
03/29/2011,20.86771,21.56528,26.43924,6.22257,2.67535
03/30/2011,21.33659,22.18223,26.95889,7.30836,4.93681
03/31/2011,20.59514,22.06111,27.20104,4.89861,5.01458
04/01/2011,20.90799,22.29861,28.90625,9.26424,7.2059
04/02/2011,20.1625,20.52396,28.17813,10.92396,7.08819
04/03/2011,19.4566,19.96493,27.6691,9.50556,7.18056
04/04/2011,20.62569,21.48333,27.61632,8.66319,9.4441
04/05/2011,20.15556,21.25868,27.2684,5.95,5.4684
04/06/2011,20.25521,21.53333,29.74271,6.55972,7.30764
04/07/2011,21.01761,22.18979,30.29437,8.94754,7.24296
04/08/2011,20.90382,21.74618,28.83507,7.57153,8.60069
04/09/2011,21.40903,21.72882,26.97778,12.18958,10.50313
04/10/2011,20.73819,21.44514,26.9191,10.4,12.17882
04/11/2011,22.81771,23.78056,28.75278,15.72049,15.75382
