@relation temperature_byhour

@attribute READING_DATE numeric
@attribute 'Forge Hallway - Temperature' numeric
@attribute 'Forge Room - Temperature' numeric
@attribute 'IT Closet-Temperature' numeric
@attribute 'Temp South Wall' numeric
@attribute 'Temperature North Wall' numeric
@attribute TimeOfDay numeric

@data
2,18.31667,20.49167,25.575,-4.23333,-1.61667,0
2,18.05,20.23333,25.25,-4.61667,-1.975,0
2,17.83333,19.98333,25,-5.09167,-1.9,0
2,17.65833,19.725,24.725,-5.825,-1.675,0
2,17.43333,19.50833,24.5,-6.11667,-2.84167,0
2,17.50833,19.34167,24.35,-6.2,-3.04167,0
2,17.775,19.38333,24.275,-5.89167,-2.9,0
2,20.39167,22.90833,24.85,-2.2,-2.30833,0
2,21.80833,24.00833,25.96667,2.65,-1.28333,0
2,22.30833,24.13333,26.73333,8.775,0.49167,1
2,20.925,21.825,26.89167,9,1.65833,1
2,22.00833,23.53333,27.31667,10.39167,2.48333,1
2,22.44167,23.5,27.65833,12.06667,3.525,0
2,23.675,24.05833,28.03333,11.39167,3.70833,1
2,24.6,24.35833,28.375,11.66667,4.6,1
2,25.33333,24.65833,28.60833,10.75833,5.5,1
2,25.33333,25.35,29.01667,9.7,5.65833,1
2,24.58333,25.06667,29.25,4.70833,4.71667,2
2,22.73333,24.15833,28.90833,1.01667,2.94167,2
2,21.48333,23.21667,28.29167,0.075,2.36667,2
2,20.54167,22.40833,27.575,-0.26667,2.09167,2
2,19.86667,21.81667,26.99167,-0.18333,2.09167,2
2,19.33333,21.31667,26.46667,1.10833,2.69167,2
2,18.775,20.80833,26.04167,1.8,3.30833,2
5,18.3,20.34167,25.60833,1.775,3.21667,0
5,17.9,19.98333,25.20833,1.75,3.31667,0
5,17.76667,19.73333,24.89167,1.40833,3.20833,0
5,17.60833,19.575,24.675,1.29167,2.95833,0
5,17.6,19.51667,24.53333,1.50833,3,0
5,17.7,19.54167,24.49167,1.45833,2.31667,0
5,17.975,19.61667,24.55,1.25,1.18333,0
5,20.39167,23.03333,25.18333,2.08333,0.125,0
5,21.46667,22.95,26.19167,2.725,-1.54167,0
5,21.45,22.09167,26.38333,5.88333,-2.36667,1
5,21.51667,22.24167,26.6,8.08333,-3.625,1
5,22.19167,23.375,26.85,10.5,-4.04167,1
5,22.83333,23.375,27.34167,12.29167,-3.85833,0
5,23.13333,23.29167,27.44167,9.575,-3.73333,1
5,23.65,23.31667,27.5,7.925,-4.15,1
5,24.16667,23.575,27.59167,2.60833,-3.58333,1
5,24.10833,23.8,27.76667,-1.78333,-3.225,1
5,23.29167,23.525,27.76667,-3.41667,-4.45,2
5,21.18333,22.68333,27.325,-4.53333,-6.09167,2
5,19.75,21.78333,26.49167,-6.85,-6.50833,2
5,19.125,21.13333,25.88333,-7.74167,-6.24167,2
5,18.60833,20.60833,25.35833,-8.35,-5.99167,2
5,18.19167,20.225,24.91667,-8.93333,-5.375,2
5,17.825,19.84167,24.66667,-9.15,-6,2
5,17.625,19.575,24.4,-9.55,-6.95,0
5,17.44167,19.35833,24.16667,-10.08333,-7.18333,0
5,18.01667,20.31667,24.25,-10.41667,-6.9,0
5,17.425,19.31667,23.99167,-10.5,-6.89167,0
5,17.975,20.325,24.01667,-10.75,-6.725,0
5,17.53333,19.28333,23.85833,-10.50833,-6.70833,0
5,17.90833,19.21667,23.8,-10.325,-6.775,0
5,20.38333,22.89167,24.54167,-5.15833,-7.35833,0
5,21.68333,23.96667,25.8,2.51667,-6.05833,0
5,21.50833,22.56667,26.13333,7.61667,-3.48333,1
5,21.825,22.69167,26.6,8.775,-2.175,1
5,22.1,22.75833,26.95833,8.95833,-1.48333,1
5,22.73333,23.075,27.325,8.875,-0.11667,0
5,23.275,23.41667,27.69167,5.15,0.61667,1
5,23.05,23.49167,27.88333,3.525,1.41667,1
5,22.58333,23.36667,27.99167,0.14167,0.59167,1
5,22.275,23.18333,27.85833,-1.08333,-0.30833,1
5,21.95,22.95833,27.70833,-2.49167,-0.96667,2
5,20.88333,22.49167,27.35,-3.54167,-1.675,2
5,19.825,21.79167,26.675,-3.975,-1.88333,2
5,19.11667,21.24167,26.00833,-3.96667,-1.85,2
5,18.73333,20.80833,25.54167,-4.03333,-1.91667,2
5,18.525,20.50833,25.19167,-3.91667,-1.70833,2
5,18.34167,20.25833,25.025,-3.43333,-1.20833,2
1,18.13333,20.01667,24.85,-3.01667,-0.96667,0
1,18.1,19.85833,24.7,-2.93333,-0.78333,0
1,17.95833,19.69167,24.54167,-2.75,-0.55,0
1,17.86667,19.60833,24.4,-2.76667,-0.41667,0
1,17.80833,19.6,24.34167,-3.03333,-0.48333,0
1,17.96667,19.575,24.21667,-3.16667,-0.48333,0
1,18.38333,19.63333,24.34167,-3.13333,-0.50833,0
1,20.65833,22.99167,25.04167,-1.19167,0.05833,0
1,21.63333,23.23333,26.13333,3.575,1.61667,0
1,21.85833,22.475,26.5,9.44167,3.66667,1
