,"Powersmiths Head Office","Powersmiths Head Office","Powersmiths Head Office","Powersmiths Head Office","Powersmiths Head Office","Powersmiths Head Office","Powersmiths Head Office","Powersmiths Head Office"
"READING_DATE","Forge Hallway - Temperature","Forge Room - Temperature","IT Closet-Temperature","Temp South Wall","Temp.Coil_A","Temp.Coil_B","Temp.Coil_C","Temperature North Wall"
03/01/2011 00:00:00,18.31667,20.49167,25.57500,-4.23333,,,,-1.61667
03/01/2011 01:00:00,18.05000,20.23333,25.25000,-4.61667,,,,-1.97500
03/01/2011 02:00:00,17.83333,19.98333,25.00000,-5.09167,,,,-1.90000
03/01/2011 03:00:00,17.65833,19.72500,24.72500,-5.82500,,,,-1.67500
03/01/2011 04:00:00,17.43333,19.50833,24.50000,-6.11667,,,,-2.84167
03/01/2011 05:00:00,17.50833,19.34167,24.35000,-6.20000,,,,-3.04167
03/01/2011 06:00:00,17.77500,19.38333,24.27500,-5.89167,,,,-2.90000
03/01/2011 07:00:00,20.39167,22.90833,24.85000,-2.20000,,,,-2.30833
03/01/2011 08:00:00,21.80833,24.00833,25.96667,2.65000,,,,-1.28333
03/01/2011 09:00:00,22.30833,24.13333,26.73333,8.77500,,,,0.49167
03/01/2011 10:00:00,20.92500,21.82500,26.89167,9.00000,,,,1.65833
03/01/2011 11:00:00,22.00833,23.53333,27.31667,10.39167,,,,2.48333
03/01/2011 12:00:00,22.44167,23.50000,27.65833,12.06667,,,,3.52500
03/01/2011 13:00:00,23.67500,24.05833,28.03333,11.39167,,,,3.70833
03/01/2011 14:00:00,24.60000,24.35833,28.37500,11.66667,,,,4.60000
03/01/2011 15:00:00,25.33333,24.65833,28.60833,10.75833,,,,5.50000
03/01/2011 16:00:00,25.33333,25.35000,29.01667,9.70000,,,,5.65833
03/01/2011 17:00:00,24.58333,25.06667,29.25000,4.70833,,,,4.71667
03/01/2011 18:00:00,22.73333,24.15833,28.90833,1.01667,,,,2.94167
03/01/2011 19:00:00,21.48333,23.21667,28.29167,0.07500,,,,2.36667
03/01/2011 20:00:00,20.54167,22.40833,27.57500,-0.26667,,,,2.09167
03/01/2011 21:00:00,19.86667,21.81667,26.99167,-0.18333,,,,2.09167
03/01/2011 22:00:00,19.33333,21.31667,26.46667,1.10833,,,,2.69167
03/01/2011 23:00:00,18.77500,20.80833,26.04167,1.80000,,,,3.30833
03/02/2011 00:00:00,18.30000,20.34167,25.60833,1.77500,,,,3.21667
03/02/2011 01:00:00,17.90000,19.98333,25.20833,1.75000,,,,3.31667
03/02/2011 02:00:00,17.76667,19.73333,24.89167,1.40833,,,,3.20833
